hits,quarter,term,year
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1900
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1900
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1900
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1900
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1901
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1901
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1901
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1901
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1902
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1902
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1902
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1902
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1903
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1903
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1903
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1903
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1904
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1904
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1904
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1904
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1905
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1905
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1905
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1905
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1906
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1906
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1906
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1906
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1907
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1907
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1907
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1907
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1908
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1908
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1908
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1908
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1909
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1909
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1909
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1909
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1910
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1910
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1910
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1910
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1911
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1911
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1911
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1911
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1912
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1912
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1912
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1912
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1913
0,2,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1913
0,3,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1913
0,4,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1913
0,1,(veteran or soldier or military or armedforces) AND (post) Vietnam syndrome,1914
