hits,quarter,term,year
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1900
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1900
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1900
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1900
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1901
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1901
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1901
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1901
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1902
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1902
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1902
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1902
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1903
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1903
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1903
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1903
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1904
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1904
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1904
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1904
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1905
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1905
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1905
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1905
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1906
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1906
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1906
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1906
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1907
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1907
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1907
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1907
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1908
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1908
