hits,quarter,term,year
0,1,(veteran or soldier or military or armedforces) AND shell shock,1900
0,2,(veteran or soldier or military or armedforces) AND shell shock,1900
0,3,(veteran or soldier or military or armedforces) AND shell shock,1900
0,4,(veteran or soldier or military or armedforces) AND shell shock,1900
0,1,(veteran or soldier or military or armedforces) AND shell shock,1901
0,2,(veteran or soldier or military or armedforces) AND shell shock,1901
0,3,(veteran or soldier or military or armedforces) AND shell shock,1901
0,4,(veteran or soldier or military or armedforces) AND shell shock,1901
0,1,(veteran or soldier or military or armedforces) AND shell shock,1902
0,2,(veteran or soldier or military or armedforces) AND shell shock,1902
0,3,(veteran or soldier or military or armedforces) AND shell shock,1902
0,4,(veteran or soldier or military or armedforces) AND shell shock,1902
0,1,(veteran or soldier or military or armedforces) AND shell shock,1903
0,2,(veteran or soldier or military or armedforces) AND shell shock,1903
0,3,(veteran or soldier or military or armedforces) AND shell shock,1903
0,4,(veteran or soldier or military or armedforces) AND shell shock,1903
0,1,(veteran or soldier or military or armedforces) AND shell shock,1904
0,2,(veteran or soldier or military or armedforces) AND shell shock,1904
0,3,(veteran or soldier or military or armedforces) AND shell shock,1904
0,4,(veteran or soldier or military or armedforces) AND shell shock,1904
0,1,(veteran or soldier or military or armedforces) AND shell shock,1905
0,2,(veteran or soldier or military or armedforces) AND shell shock,1905
0,3,(veteran or soldier or military or armedforces) AND shell shock,1905
0,4,(veteran or soldier or military or armedforces) AND shell shock,1905
0,1,(veteran or soldier or military or armedforces) AND shell shock,1906
0,2,(veteran or soldier or military or armedforces) AND shell shock,1906
0,3,(veteran or soldier or military or armedforces) AND shell shock,1906
0,4,(veteran or soldier or military or armedforces) AND shell shock,1906
0,1,(veteran or soldier or military or armedforces) AND shell shock,1907
0,2,(veteran or soldier or military or armedforces) AND shell shock,1907
0,3,(veteran or soldier or military or armedforces) AND shell shock,1907
0,4,(veteran or soldier or military or armedforces) AND shell shock,1907
0,1,(veteran or soldier or military or armedforces) AND shell shock,1908
0,2,(veteran or soldier or military or armedforces) AND shell shock,1908
0,3,(veteran or soldier or military or armedforces) AND shell shock,1908
0,4,(veteran or soldier or military or armedforces) AND shell shock,1908
0,1,(veteran or soldier or military or armedforces) AND shell shock,1909
0,2,(veteran or soldier or military or armedforces) AND shell shock,1909
0,3,(veteran or soldier or military or armedforces) AND shell shock,1909
0,4,(veteran or soldier or military or armedforces) AND shell shock,1909
0,1,(veteran or soldier or military or armedforces) AND shell shock,1910
0,2,(veteran or soldier or military or armedforces) AND shell shock,1910
0,3,(veteran or soldier or military or armedforces) AND shell shock,1910
0,4,(veteran or soldier or military or armedforces) AND shell shock,1910
0,1,(veteran or soldier or military or armedforces) AND shell shock,1911
0,2,(veteran or soldier or military or armedforces) AND shell shock,1911
0,3,(veteran or soldier or military or armedforces) AND shell shock,1911
0,4,(veteran or soldier or military or armedforces) AND shell shock,1911
0,1,(veteran or soldier or military or armedforces) AND shell shock,1912
0,2,(veteran or soldier or military or armedforces) AND shell shock,1912
0,3,(veteran or soldier or military or armedforces) AND shell shock,1912
0,4,(veteran or soldier or military or armedforces) AND shell shock,1912
0,1,(veteran or soldier or military or armedforces) AND shell shock,1913
0,2,(veteran or soldier or military or armedforces) AND shell shock,1913
0,3,(veteran or soldier or military or armedforces) AND shell shock,1913
0,4,(veteran or soldier or military or armedforces) AND shell shock,1913
0,1,(veteran or soldier or military or armedforces) AND shell shock,1914
0,2,(veteran or soldier or military or armedforces) AND shell shock,1914
0,3,(veteran or soldier or military or armedforces) AND shell shock,1914
0,4,(veteran or soldier or military or armedforces) AND shell shock,1914
0,1,(veteran or soldier or military or armedforces) AND shell shock,1915
0,2,(veteran or soldier or military or armedforces) AND shell shock,1915
0,3,(veteran or soldier or military or armedforces) AND shell shock,1915
0,4,(veteran or soldier or military or armedforces) AND shell shock,1915
0,1,(veteran or soldier or military or armedforces) AND shell shock,1916
0,2,(veteran or soldier or military or armedforces) AND shell shock,1916
1,3,(veteran or soldier or military or armedforces) AND shell shock,1916
0,4,(veteran or soldier or military or armedforces) AND shell shock,1916
2,1,(veteran or soldier or military or armedforces) AND shell shock,1917
2,2,(veteran or soldier or military or armedforces) AND shell shock,1917
2,3,(veteran or soldier or military or armedforces) AND shell shock,1917
5,4,(veteran or soldier or military or armedforces) AND shell shock,1917
9,1,(veteran or soldier or military or armedforces) AND shell shock,1918
5,2,(veteran or soldier or military or armedforces) AND shell shock,1918
13,3,(veteran or soldier or military or armedforces) AND shell shock,1918
15,4,(veteran or soldier or military or armedforces) AND shell shock,1918
15,1,(veteran or soldier or military or armedforces) AND shell shock,1919
7,2,(veteran or soldier or military or armedforces) AND shell shock,1919
5,3,(veteran or soldier or military or armedforces) AND shell shock,1919
3,4,(veteran or soldier or military or armedforces) AND shell shock,1919
5,1,(veteran or soldier or military or armedforces) AND shell shock,1920
4,2,(veteran or soldier or military or armedforces) AND shell shock,1920
5,3,(veteran or soldier or military or armedforces) AND shell shock,1920
1,4,(veteran or soldier or military or armedforces) AND shell shock,1920
4,1,(veteran or soldier or military or armedforces) AND shell shock,1921
2,2,(veteran or soldier or military or armedforces) AND shell shock,1921
3,3,(veteran or soldier or military or armedforces) AND shell shock,1921
4,4,(veteran or soldier or military or armedforces) AND shell shock,1921
7,1,(veteran or soldier or military or armedforces) AND shell shock,1922
2,2,(veteran or soldier or military or armedforces) AND shell shock,1922
5,3,(veteran or soldier or military or armedforces) AND shell shock,1922
1,4,(veteran or soldier or military or armedforces) AND shell shock,1922
6,1,(veteran or soldier or military or armedforces) AND shell shock,1923
2,2,(veteran or soldier or military or armedforces) AND shell shock,1923
2,3,(veteran or soldier or military or armedforces) AND shell shock,1923
1,4,(veteran or soldier or military or armedforces) AND shell shock,1923
0,1,(veteran or soldier or military or armedforces) AND shell shock,1924
4,2,(veteran or soldier or military or armedforces) AND shell shock,1924
3,3,(veteran or soldier or military or armedforces) AND shell shock,1924
3,4,(veteran or soldier or military or armedforces) AND shell shock,1924
5,1,(veteran or soldier or military or armedforces) AND shell shock,1925
2,2,(veteran or soldier or military or armedforces) AND shell shock,1925
2,3,(veteran or soldier or military or armedforces) AND shell shock,1925
0,4,(veteran or soldier or military or armedforces) AND shell shock,1925
2,1,(veteran or soldier or military or armedforces) AND shell shock,1926
3,2,(veteran or soldier or military or armedforces) AND shell shock,1926
1,3,(veteran or soldier or military or armedforces) AND shell shock,1926
