hits,quarter,term,year
0,1,(vets*) AND Disordered_Action_of_Heart,1900
0,2,(vets*) AND Disordered_Action_of_Heart,1900
0,3,(vets*) AND Disordered_Action_of_Heart,1900
0,4,(vets*) AND Disordered_Action_of_Heart,1900
0,1,(vets*) AND Disordered_Action_of_Heart,1901
0,2,(vets*) AND Disordered_Action_of_Heart,1901
0,3,(vets*) AND Disordered_Action_of_Heart,1901
0,4,(vets*) AND Disordered_Action_of_Heart,1901
0,1,(vets*) AND Disordered_Action_of_Heart,1902
0,2,(vets*) AND Disordered_Action_of_Heart,1902
0,3,(vets*) AND Disordered_Action_of_Heart,1902
0,4,(vets*) AND Disordered_Action_of_Heart,1902
0,1,(vets*) AND Disordered_Action_of_Heart,1903
0,2,(vets*) AND Disordered_Action_of_Heart,1903
0,3,(vets*) AND Disordered_Action_of_Heart,1903
0,4,(vets*) AND Disordered_Action_of_Heart,1903
0,1,(vets*) AND Disordered_Action_of_Heart,1904
0,2,(vets*) AND Disordered_Action_of_Heart,1904
0,3,(vets*) AND Disordered_Action_of_Heart,1904
0,4,(vets*) AND Disordered_Action_of_Heart,1904
0,1,(vets*) AND Disordered_Action_of_Heart,1905
0,2,(vets*) AND Disordered_Action_of_Heart,1905
0,3,(vets*) AND Disordered_Action_of_Heart,1905
0,4,(vets*) AND Disordered_Action_of_Heart,1905
0,1,(vets*) AND Disordered_Action_of_Heart,1906
0,2,(vets*) AND Disordered_Action_of_Heart,1906
0,3,(vets*) AND Disordered_Action_of_Heart,1906
0,4,(vets*) AND Disordered_Action_of_Heart,1906
0,1,(vets*) AND Disordered_Action_of_Heart,1907
0,2,(vets*) AND Disordered_Action_of_Heart,1907
0,3,(vets*) AND Disordered_Action_of_Heart,1907
0,4,(vets*) AND Disordered_Action_of_Heart,1907
0,1,(vets*) AND Disordered_Action_of_Heart,1908
0,2,(vets*) AND Disordered_Action_of_Heart,1908
0,3,(vets*) AND Disordered_Action_of_Heart,1908
0,4,(vets*) AND Disordered_Action_of_Heart,1908
0,1,(vets*) AND Disordered_Action_of_Heart,1909
0,2,(vets*) AND Disordered_Action_of_Heart,1909
0,3,(vets*) AND Disordered_Action_of_Heart,1909
0,4,(vets*) AND Disordered_Action_of_Heart,1909
0,1,(vets*) AND Disordered_Action_of_Heart,1910
0,2,(vets*) AND Disordered_Action_of_Heart,1910
0,3,(vets*) AND Disordered_Action_of_Heart,1910
0,4,(vets*) AND Disordered_Action_of_Heart,1910
0,1,(vets*) AND Disordered_Action_of_Heart,1911
0,2,(vets*) AND Disordered_Action_of_Heart,1911
0,3,(vets*) AND Disordered_Action_of_Heart,1911
0,4,(vets*) AND Disordered_Action_of_Heart,1911
0,1,(vets*) AND Disordered_Action_of_Heart,1912
0,2,(vets*) AND Disordered_Action_of_Heart,1912
0,3,(vets*) AND Disordered_Action_of_Heart,1912
0,4,(vets*) AND Disordered_Action_of_Heart,1912
0,1,(vets*) AND Disordered_Action_of_Heart,1913
0,2,(vets*) AND Disordered_Action_of_Heart,1913
0,3,(vets*) AND Disordered_Action_of_Heart,1913
0,4,(vets*) AND Disordered_Action_of_Heart,1913
0,1,(vets*) AND Disordered_Action_of_Heart,1914
0,2,(vets*) AND Disordered_Action_of_Heart,1914
0,3,(vets*) AND Disordered_Action_of_Heart,1914
0,4,(vets*) AND Disordered_Action_of_Heart,1914
0,1,(vets*) AND Disordered_Action_of_Heart,1915
0,2,(vets*) AND Disordered_Action_of_Heart,1915
0,3,(vets*) AND Disordered_Action_of_Heart,1915
0,4,(vets*) AND Disordered_Action_of_Heart,1915
0,1,(vets*) AND Disordered_Action_of_Heart,1916
0,2,(vets*) AND Disordered_Action_of_Heart,1916
0,3,(vets*) AND Disordered_Action_of_Heart,1916
0,4,(vets*) AND Disordered_Action_of_Heart,1916
0,1,(vets*) AND Disordered_Action_of_Heart,1917
0,2,(vets*) AND Disordered_Action_of_Heart,1917
0,3,(vets*) AND Disordered_Action_of_Heart,1917
0,4,(vets*) AND Disordered_Action_of_Heart,1917
0,1,(vets*) AND Disordered_Action_of_Heart,1918
0,2,(vets*) AND Disordered_Action_of_Heart,1918
0,3,(vets*) AND Disordered_Action_of_Heart,1918
0,4,(vets*) AND Disordered_Action_of_Heart,1918
0,1,(vets*) AND Disordered_Action_of_Heart,1919
0,2,(vets*) AND Disordered_Action_of_Heart,1919
0,3,(vets*) AND Disordered_Action_of_Heart,1919
0,4,(vets*) AND Disordered_Action_of_Heart,1919
0,1,(vets*) AND Disordered_Action_of_Heart,1920
0,2,(vets*) AND Disordered_Action_of_Heart,1920
0,3,(vets*) AND Disordered_Action_of_Heart,1920
0,4,(vets*) AND Disordered_Action_of_Heart,1920
0,1,(vets*) AND Disordered_Action_of_Heart,1921
0,2,(vets*) AND Disordered_Action_of_Heart,1921
0,3,(vets*) AND Disordered_Action_of_Heart,1921
