hits,quarter,term,year
0,1,(vets*) AND PTSD_all_forms,1900
0,2,(vets*) AND PTSD_all_forms,1900
0,3,(vets*) AND PTSD_all_forms,1900
0,4,(vets*) AND PTSD_all_forms,1900
0,1,(vets*) AND PTSD_all_forms,1901
0,2,(vets*) AND PTSD_all_forms,1901
0,3,(vets*) AND PTSD_all_forms,1901
0,4,(vets*) AND PTSD_all_forms,1901
0,1,(vets*) AND PTSD_all_forms,1902
0,2,(vets*) AND PTSD_all_forms,1902
0,3,(vets*) AND PTSD_all_forms,1902
0,4,(vets*) AND PTSD_all_forms,1902
0,1,(vets*) AND PTSD_all_forms,1903
0,2,(vets*) AND PTSD_all_forms,1903
0,3,(vets*) AND PTSD_all_forms,1903
0,4,(vets*) AND PTSD_all_forms,1903
0,1,(vets*) AND PTSD_all_forms,1904
0,2,(vets*) AND PTSD_all_forms,1904
0,3,(vets*) AND PTSD_all_forms,1904
0,4,(vets*) AND PTSD_all_forms,1904
0,1,(vets*) AND PTSD_all_forms,1905
0,2,(vets*) AND PTSD_all_forms,1905
0,3,(vets*) AND PTSD_all_forms,1905
0,4,(vets*) AND PTSD_all_forms,1905
0,1,(vets*) AND PTSD_all_forms,1906
0,2,(vets*) AND PTSD_all_forms,1906
0,3,(vets*) AND PTSD_all_forms,1906
0,4,(vets*) AND PTSD_all_forms,1906
0,1,(vets*) AND PTSD_all_forms,1907
0,2,(vets*) AND PTSD_all_forms,1907
0,3,(vets*) AND PTSD_all_forms,1907
0,4,(vets*) AND PTSD_all_forms,1907
0,1,(vets*) AND PTSD_all_forms,1908
0,2,(vets*) AND PTSD_all_forms,1908
0,3,(vets*) AND PTSD_all_forms,1908
0,4,(vets*) AND PTSD_all_forms,1908
0,1,(vets*) AND PTSD_all_forms,1909
0,2,(vets*) AND PTSD_all_forms,1909
0,3,(vets*) AND PTSD_all_forms,1909
0,4,(vets*) AND PTSD_all_forms,1909
0,1,(vets*) AND PTSD_all_forms,1910
0,2,(vets*) AND PTSD_all_forms,1910
0,3,(vets*) AND PTSD_all_forms,1910
0,4,(vets*) AND PTSD_all_forms,1910
0,1,(vets*) AND PTSD_all_forms,1911
0,2,(vets*) AND PTSD_all_forms,1911
0,3,(vets*) AND PTSD_all_forms,1911
0,4,(vets*) AND PTSD_all_forms,1911
0,1,(vets*) AND PTSD_all_forms,1912
0,2,(vets*) AND PTSD_all_forms,1912
0,3,(vets*) AND PTSD_all_forms,1912
0,4,(vets*) AND PTSD_all_forms,1912
0,1,(vets*) AND PTSD_all_forms,1913
0,2,(vets*) AND PTSD_all_forms,1913
0,3,(vets*) AND PTSD_all_forms,1913
0,4,(vets*) AND PTSD_all_forms,1913
0,1,(vets*) AND PTSD_all_forms,1914
0,2,(vets*) AND PTSD_all_forms,1914
0,3,(vets*) AND PTSD_all_forms,1914
0,4,(vets*) AND PTSD_all_forms,1914
0,1,(vets*) AND PTSD_all_forms,1915
0,2,(vets*) AND PTSD_all_forms,1915
0,3,(vets*) AND PTSD_all_forms,1915
1,4,(vets*) AND PTSD_all_forms,1915
0,1,(vets*) AND PTSD_all_forms,1916
0,2,(vets*) AND PTSD_all_forms,1916
1,3,(vets*) AND PTSD_all_forms,1916
1,4,(vets*) AND PTSD_all_forms,1916
2,1,(vets*) AND PTSD_all_forms,1917
6,2,(vets*) AND PTSD_all_forms,1917
4,3,(vets*) AND PTSD_all_forms,1917
5,4,(vets*) AND PTSD_all_forms,1917
12,1,(vets*) AND PTSD_all_forms,1918
11,2,(vets*) AND PTSD_all_forms,1918
18,3,(vets*) AND PTSD_all_forms,1918
19,4,(vets*) AND PTSD_all_forms,1918
21,1,(vets*) AND PTSD_all_forms,1919
9,2,(vets*) AND PTSD_all_forms,1919
6,3,(vets*) AND PTSD_all_forms,1919
7,4,(vets*) AND PTSD_all_forms,1919
8,1,(vets*) AND PTSD_all_forms,1920
7,2,(vets*) AND PTSD_all_forms,1920
10,3,(vets*) AND PTSD_all_forms,1920
3,4,(vets*) AND PTSD_all_forms,1920
7,1,(vets*) AND PTSD_all_forms,1921
4,2,(vets*) AND PTSD_all_forms,1921
13,3,(vets*) AND PTSD_all_forms,1921
5,4,(vets*) AND PTSD_all_forms,1921
10,1,(vets*) AND PTSD_all_forms,1922
3,2,(vets*) AND PTSD_all_forms,1922
5,3,(vets*) AND PTSD_all_forms,1922
2,4,(vets*) AND PTSD_all_forms,1922
8,1,(vets*) AND PTSD_all_forms,1923
4,2,(vets*) AND PTSD_all_forms,1923
3,3,(vets*) AND PTSD_all_forms,1923
