hits,quarter,term,year
0,1,(vets*) AND barbed-wire psychosis,1900
0,2,(vets*) AND barbed-wire psychosis,1900
0,3,(vets*) AND barbed-wire psychosis,1900
0,4,(vets*) AND barbed-wire psychosis,1900
0,1,(vets*) AND barbed-wire psychosis,1901
0,2,(vets*) AND barbed-wire psychosis,1901
0,3,(vets*) AND barbed-wire psychosis,1901
0,4,(vets*) AND barbed-wire psychosis,1901
0,1,(vets*) AND barbed-wire psychosis,1902
0,2,(vets*) AND barbed-wire psychosis,1902
0,3,(vets*) AND barbed-wire psychosis,1902
0,4,(vets*) AND barbed-wire psychosis,1902
0,1,(vets*) AND barbed-wire psychosis,1903
0,2,(vets*) AND barbed-wire psychosis,1903
0,3,(vets*) AND barbed-wire psychosis,1903
0,4,(vets*) AND barbed-wire psychosis,1903
0,1,(vets*) AND barbed-wire psychosis,1904
0,2,(vets*) AND barbed-wire psychosis,1904
0,3,(vets*) AND barbed-wire psychosis,1904
0,4,(vets*) AND barbed-wire psychosis,1904
0,1,(vets*) AND barbed-wire psychosis,1905
0,2,(vets*) AND barbed-wire psychosis,1905
0,3,(vets*) AND barbed-wire psychosis,1905
0,4,(vets*) AND barbed-wire psychosis,1905
0,1,(vets*) AND barbed-wire psychosis,1906
0,2,(vets*) AND barbed-wire psychosis,1906
0,3,(vets*) AND barbed-wire psychosis,1906
0,4,(vets*) AND barbed-wire psychosis,1906
0,1,(vets*) AND barbed-wire psychosis,1907
0,2,(vets*) AND barbed-wire psychosis,1907
0,3,(vets*) AND barbed-wire psychosis,1907
0,4,(vets*) AND barbed-wire psychosis,1907
0,1,(vets*) AND barbed-wire psychosis,1908
0,2,(vets*) AND barbed-wire psychosis,1908
0,3,(vets*) AND barbed-wire psychosis,1908
0,4,(vets*) AND barbed-wire psychosis,1908
0,1,(vets*) AND barbed-wire psychosis,1909
0,2,(vets*) AND barbed-wire psychosis,1909
0,3,(vets*) AND barbed-wire psychosis,1909
0,4,(vets*) AND barbed-wire psychosis,1909
0,1,(vets*) AND barbed-wire psychosis,1910
0,2,(vets*) AND barbed-wire psychosis,1910
0,3,(vets*) AND barbed-wire psychosis,1910
0,4,(vets*) AND barbed-wire psychosis,1910
0,1,(vets*) AND barbed-wire psychosis,1911
0,2,(vets*) AND barbed-wire psychosis,1911
0,3,(vets*) AND barbed-wire psychosis,1911
0,4,(vets*) AND barbed-wire psychosis,1911
0,1,(vets*) AND barbed-wire psychosis,1912
0,2,(vets*) AND barbed-wire psychosis,1912
0,3,(vets*) AND barbed-wire psychosis,1912
0,4,(vets*) AND barbed-wire psychosis,1912
0,1,(vets*) AND barbed-wire psychosis,1913
0,2,(vets*) AND barbed-wire psychosis,1913
0,3,(vets*) AND barbed-wire psychosis,1913
0,4,(vets*) AND barbed-wire psychosis,1913
0,1,(vets*) AND barbed-wire psychosis,1914
0,2,(vets*) AND barbed-wire psychosis,1914
0,3,(vets*) AND barbed-wire psychosis,1914
0,4,(vets*) AND barbed-wire psychosis,1914
0,1,(vets*) AND barbed-wire psychosis,1915
0,2,(vets*) AND barbed-wire psychosis,1915
0,3,(vets*) AND barbed-wire psychosis,1915
0,4,(vets*) AND barbed-wire psychosis,1915
0,1,(vets*) AND barbed-wire psychosis,1916
0,2,(vets*) AND barbed-wire psychosis,1916
0,3,(vets*) AND barbed-wire psychosis,1916
0,4,(vets*) AND barbed-wire psychosis,1916
0,1,(vets*) AND barbed-wire psychosis,1917
0,2,(vets*) AND barbed-wire psychosis,1917
0,3,(vets*) AND barbed-wire psychosis,1917
0,4,(vets*) AND barbed-wire psychosis,1917
0,1,(vets*) AND barbed-wire psychosis,1918
0,2,(vets*) AND barbed-wire psychosis,1918
0,3,(vets*) AND barbed-wire psychosis,1918
0,4,(vets*) AND barbed-wire psychosis,1918
0,2,(vets*) AND barbed-wire psychosis,1919
0,3,(vets*) AND barbed-wire psychosis,1919
0,4,(vets*) AND barbed-wire psychosis,1919
0,1,(vets*) AND barbed-wire psychosis,1920
0,2,(vets*) AND barbed-wire psychosis,1920
0,3,(vets*) AND barbed-wire psychosis,1920
0,4,(vets*) AND barbed-wire psychosis,1920
0,1,(vets*) AND barbed-wire psychosis,1921
0,2,(vets*) AND barbed-wire psychosis,1921
0,3,(vets*) AND barbed-wire psychosis,1921
0,4,(vets*) AND barbed-wire psychosis,1921
0,1,(vets*) AND barbed-wire psychosis,1922
0,2,(vets*) AND barbed-wire psychosis,1922
0,3,(vets*) AND barbed-wire psychosis,1922
0,4,(vets*) AND barbed-wire psychosis,1922
0,1,(vets*) AND barbed-wire psychosis,1923
0,2,(vets*) AND barbed-wire psychosis,1923
0,3,(vets*) AND barbed-wire psychosis,1923
0,4,(vets*) AND barbed-wire psychosis,1923
0,1,(vets*) AND barbed-wire psychosis,1924
0,2,(vets*) AND barbed-wire psychosis,1924
0,3,(vets*) AND barbed-wire psychosis,1924
0,4,(vets*) AND barbed-wire psychosis,1924
0,1,(vets*) AND barbed-wire psychosis,1925
0,2,(vets*) AND barbed-wire psychosis,1925
0,3,(vets*) AND barbed-wire psychosis,1925
0,4,(vets*) AND barbed-wire psychosis,1925
0,1,(vets*) AND barbed-wire psychosis,1926
0,2,(vets*) AND barbed-wire psychosis,1926
0,3,(vets*) AND barbed-wire psychosis,1926
0,4,(vets*) AND barbed-wire psychosis,1926
0,1,(vets*) AND barbed-wire psychosis,1927
0,2,(vets*) AND barbed-wire psychosis,1927
0,3,(vets*) AND barbed-wire psychosis,1927
0,4,(vets*) AND barbed-wire psychosis,1927
0,1,(vets*) AND barbed-wire psychosis,1928
0,2,(vets*) AND barbed-wire psychosis,1928
0,3,(vets*) AND barbed-wire psychosis,1928
0,4,(vets*) AND barbed-wire psychosis,1928
0,1,(vets*) AND barbed-wire psychosis,1929
0,2,(vets*) AND barbed-wire psychosis,1929
0,3,(vets*) AND barbed-wire psychosis,1929
0,4,(vets*) AND barbed-wire psychosis,1929
0,1,(vets*) AND barbed-wire psychosis,1930
0,2,(vets*) AND barbed-wire psychosis,1930
0,3,(vets*) AND barbed-wire psychosis,1930
0,4,(vets*) AND barbed-wire psychosis,1930
0,1,(vets*) AND barbed-wire psychosis,1931
0,2,(vets*) AND barbed-wire psychosis,1931
0,3,(vets*) AND barbed-wire psychosis,1931
0,4,(vets*) AND barbed-wire psychosis,1931
0,1,(vets*) AND barbed-wire psychosis,1932
0,2,(vets*) AND barbed-wire psychosis,1932
0,3,(vets*) AND barbed-wire psychosis,1932
0,4,(vets*) AND barbed-wire psychosis,1932
0,1,(vets*) AND barbed-wire psychosis,1933
0,2,(vets*) AND barbed-wire psychosis,1933
0,3,(vets*) AND barbed-wire psychosis,1933
0,4,(vets*) AND barbed-wire psychosis,1933
0,1,(vets*) AND barbed-wire psychosis,1934
0,2,(vets*) AND barbed-wire psychosis,1934
0,3,(vets*) AND barbed-wire psychosis,1934
0,4,(vets*) AND barbed-wire psychosis,1934
0,1,(vets*) AND barbed-wire psychosis,1935
0,2,(vets*) AND barbed-wire psychosis,1935
0,3,(vets*) AND barbed-wire psychosis,1935
0,4,(vets*) AND barbed-wire psychosis,1935
0,1,(vets*) AND barbed-wire psychosis,1936
0,2,(vets*) AND barbed-wire psychosis,1936
0,3,(vets*) AND barbed-wire psychosis,1936
0,4,(vets*) AND barbed-wire psychosis,1936
0,1,(vets*) AND barbed-wire psychosis,1937
0,2,(vets*) AND barbed-wire psychosis,1937
0,3,(vets*) AND barbed-wire psychosis,1937
0,4,(vets*) AND barbed-wire psychosis,1937
0,1,(vets*) AND barbed-wire psychosis,1938
0,2,(vets*) AND barbed-wire psychosis,1938
0,3,(vets*) AND barbed-wire psychosis,1938
0,4,(vets*) AND barbed-wire psychosis,1938
0,1,(vets*) AND barbed-wire psychosis,1939
0,2,(vets*) AND barbed-wire psychosis,1939
0,3,(vets*) AND barbed-wire psychosis,1939
0,4,(vets*) AND barbed-wire psychosis,1939
0,1,(vets*) AND barbed-wire psychosis,1940
0,2,(vets*) AND barbed-wire psychosis,1940
0,3,(vets*) AND barbed-wire psychosis,1940
0,4,(vets*) AND barbed-wire psychosis,1940
0,1,(vets*) AND barbed-wire psychosis,1941
0,2,(vets*) AND barbed-wire psychosis,1941
0,3,(vets*) AND barbed-wire psychosis,1941
0,4,(vets*) AND barbed-wire psychosis,1941
0,1,(vets*) AND barbed-wire psychosis,1942
0,2,(vets*) AND barbed-wire psychosis,1942
0,3,(vets*) AND barbed-wire psychosis,1942
0,4,(vets*) AND barbed-wire psychosis,1942
0,1,(vets*) AND barbed-wire psychosis,1943
0,2,(vets*) AND barbed-wire psychosis,1943
0,3,(vets*) AND barbed-wire psychosis,1943
0,4,(vets*) AND barbed-wire psychosis,1943
0,1,(vets*) AND barbed-wire psychosis,1944
0,2,(vets*) AND barbed-wire psychosis,1944
0,3,(vets*) AND barbed-wire psychosis,1944
0,4,(vets*) AND barbed-wire psychosis,1944
0,1,(vets*) AND barbed-wire psychosis,1945
0,2,(vets*) AND barbed-wire psychosis,1945
0,3,(vets*) AND barbed-wire psychosis,1945
0,4,(vets*) AND barbed-wire psychosis,1945
0,1,(vets*) AND barbed-wire psychosis,1946
0,2,(vets*) AND barbed-wire psychosis,1946
0,3,(vets*) AND barbed-wire psychosis,1946
0,4,(vets*) AND barbed-wire psychosis,1946
0,1,(vets*) AND barbed-wire psychosis,1947
0,2,(vets*) AND barbed-wire psychosis,1947
0,3,(vets*) AND barbed-wire psychosis,1947
0,4,(vets*) AND barbed-wire psychosis,1947
0,1,(vets*) AND barbed-wire psychosis,1948
0,2,(vets*) AND barbed-wire psychosis,1948
0,3,(vets*) AND barbed-wire psychosis,1948
0,4,(vets*) AND barbed-wire psychosis,1948
0,1,(vets*) AND barbed-wire psychosis,1949
0,2,(vets*) AND barbed-wire psychosis,1949
0,3,(vets*) AND barbed-wire psychosis,1949
0,4,(vets*) AND barbed-wire psychosis,1949
0,1,(vets*) AND barbed-wire psychosis,1950
0,2,(vets*) AND barbed-wire psychosis,1950
0,3,(vets*) AND barbed-wire psychosis,1950
0,4,(vets*) AND barbed-wire psychosis,1950
0,1,(vets*) AND barbed-wire psychosis,1951
0,2,(vets*) AND barbed-wire psychosis,1951
0,3,(vets*) AND barbed-wire psychosis,1951
0,4,(vets*) AND barbed-wire psychosis,1951
0,1,(vets*) AND barbed-wire psychosis,1952
0,2,(vets*) AND barbed-wire psychosis,1952
0,3,(vets*) AND barbed-wire psychosis,1952
0,4,(vets*) AND barbed-wire psychosis,1952
0,1,(vets*) AND barbed-wire psychosis,1953
0,2,(vets*) AND barbed-wire psychosis,1953
0,3,(vets*) AND barbed-wire psychosis,1953
0,4,(vets*) AND barbed-wire psychosis,1953
0,1,(vets*) AND barbed-wire psychosis,1954
0,2,(vets*) AND barbed-wire psychosis,1954
0,3,(vets*) AND barbed-wire psychosis,1954
0,4,(vets*) AND barbed-wire psychosis,1954
0,1,(vets*) AND barbed-wire psychosis,1955
0,2,(vets*) AND barbed-wire psychosis,1955
0,3,(vets*) AND barbed-wire psychosis,1955
0,4,(vets*) AND barbed-wire psychosis,1955
0,1,(vets*) AND barbed-wire psychosis,1956
0,2,(vets*) AND barbed-wire psychosis,1956
0,3,(vets*) AND barbed-wire psychosis,1956
0,4,(vets*) AND barbed-wire psychosis,1956
