hits,quarter,term,year
0,1,(vets*) AND camp disease,1900
0,2,(vets*) AND camp disease,1900
0,3,(vets*) AND camp disease,1900
0,4,(vets*) AND camp disease,1900
0,1,(vets*) AND camp disease,1901
0,2,(vets*) AND camp disease,1901
0,3,(vets*) AND camp disease,1901
0,4,(vets*) AND camp disease,1901
0,1,(vets*) AND camp disease,1902
0,2,(vets*) AND camp disease,1902
0,3,(vets*) AND camp disease,1902
0,4,(vets*) AND camp disease,1902
0,1,(vets*) AND camp disease,1903
0,2,(vets*) AND camp disease,1903
0,3,(vets*) AND camp disease,1903
0,4,(vets*) AND camp disease,1903
0,1,(vets*) AND camp disease,1904
0,2,(vets*) AND camp disease,1904
0,3,(vets*) AND camp disease,1904
0,4,(vets*) AND camp disease,1904
0,1,(vets*) AND camp disease,1905
0,2,(vets*) AND camp disease,1905
0,3,(vets*) AND camp disease,1905
0,4,(vets*) AND camp disease,1905
0,1,(vets*) AND camp disease,1906
0,2,(vets*) AND camp disease,1906
0,3,(vets*) AND camp disease,1906
0,4,(vets*) AND camp disease,1906
0,1,(vets*) AND camp disease,1907
0,2,(vets*) AND camp disease,1907
0,3,(vets*) AND camp disease,1907
0,4,(vets*) AND camp disease,1907
0,1,(vets*) AND camp disease,1908
0,2,(vets*) AND camp disease,1908
0,3,(vets*) AND camp disease,1908
0,4,(vets*) AND camp disease,1908
0,1,(vets*) AND camp disease,1909
0,2,(vets*) AND camp disease,1909
0,3,(vets*) AND camp disease,1909
0,4,(vets*) AND camp disease,1909
0,1,(vets*) AND camp disease,1910
0,2,(vets*) AND camp disease,1910
0,3,(vets*) AND camp disease,1910
0,4,(vets*) AND camp disease,1910
0,1,(vets*) AND camp disease,1911
0,2,(vets*) AND camp disease,1911
0,3,(vets*) AND camp disease,1911
0,4,(vets*) AND camp disease,1911
0,1,(vets*) AND camp disease,1912
0,2,(vets*) AND camp disease,1912
0,3,(vets*) AND camp disease,1912
0,4,(vets*) AND camp disease,1912
0,1,(vets*) AND camp disease,1913
0,2,(vets*) AND camp disease,1913
0,3,(vets*) AND camp disease,1913
0,4,(vets*) AND camp disease,1913
0,1,(vets*) AND camp disease,1914
0,2,(vets*) AND camp disease,1914
0,3,(vets*) AND camp disease,1914
0,4,(vets*) AND camp disease,1914
0,1,(vets*) AND camp disease,1915
0,2,(vets*) AND camp disease,1915
0,3,(vets*) AND camp disease,1915
0,4,(vets*) AND camp disease,1915
0,1,(vets*) AND camp disease,1916
0,2,(vets*) AND camp disease,1916
0,3,(vets*) AND camp disease,1916
0,4,(vets*) AND camp disease,1916
0,1,(vets*) AND camp disease,1917
0,2,(vets*) AND camp disease,1917
0,3,(vets*) AND camp disease,1917
0,4,(vets*) AND camp disease,1917
0,1,(vets*) AND camp disease,1918
0,2,(vets*) AND camp disease,1918
0,3,(vets*) AND camp disease,1918
0,4,(vets*) AND camp disease,1918
0,1,(vets*) AND camp disease,1919
0,2,(vets*) AND camp disease,1919
0,3,(vets*) AND camp disease,1919
0,4,(vets*) AND camp disease,1919
0,1,(vets*) AND camp disease,1920
0,2,(vets*) AND camp disease,1920
0,3,(vets*) AND camp disease,1920
0,4,(vets*) AND camp disease,1920
0,1,(vets*) AND camp disease,1921
0,2,(vets*) AND camp disease,1921
0,3,(vets*) AND camp disease,1921
0,4,(vets*) AND camp disease,1921
0,1,(vets*) AND camp disease,1922
0,2,(vets*) AND camp disease,1922
0,3,(vets*) AND camp disease,1922
0,4,(vets*) AND camp disease,1922
