hits,quarter,term,year
0,1,(vets*) AND effort syndrome,1900
0,2,(vets*) AND effort syndrome,1900
0,3,(vets*) AND effort syndrome,1900
0,4,(vets*) AND effort syndrome,1900
0,1,(vets*) AND effort syndrome,1901
0,2,(vets*) AND effort syndrome,1901
0,3,(vets*) AND effort syndrome,1901
0,4,(vets*) AND effort syndrome,1901
0,1,(vets*) AND effort syndrome,1902
0,2,(vets*) AND effort syndrome,1902
0,3,(vets*) AND effort syndrome,1902
0,4,(vets*) AND effort syndrome,1902
0,1,(vets*) AND effort syndrome,1903
0,2,(vets*) AND effort syndrome,1903
0,3,(vets*) AND effort syndrome,1903
0,4,(vets*) AND effort syndrome,1903
0,1,(vets*) AND effort syndrome,1904
0,2,(vets*) AND effort syndrome,1904
0,3,(vets*) AND effort syndrome,1904
0,4,(vets*) AND effort syndrome,1904
0,1,(vets*) AND effort syndrome,1905
0,2,(vets*) AND effort syndrome,1905
0,3,(vets*) AND effort syndrome,1905
0,4,(vets*) AND effort syndrome,1905
0,1,(vets*) AND effort syndrome,1906
0,2,(vets*) AND effort syndrome,1906
0,3,(vets*) AND effort syndrome,1906
0,4,(vets*) AND effort syndrome,1906
0,1,(vets*) AND effort syndrome,1907
0,2,(vets*) AND effort syndrome,1907
0,3,(vets*) AND effort syndrome,1907
0,4,(vets*) AND effort syndrome,1907
0,1,(vets*) AND effort syndrome,1908
0,2,(vets*) AND effort syndrome,1908
0,3,(vets*) AND effort syndrome,1908
0,4,(vets*) AND effort syndrome,1908
0,1,(vets*) AND effort syndrome,1909
0,2,(vets*) AND effort syndrome,1909
0,3,(vets*) AND effort syndrome,1909
0,4,(vets*) AND effort syndrome,1909
0,1,(vets*) AND effort syndrome,1910
0,2,(vets*) AND effort syndrome,1910
0,3,(vets*) AND effort syndrome,1910
0,4,(vets*) AND effort syndrome,1910
0,1,(vets*) AND effort syndrome,1911
0,2,(vets*) AND effort syndrome,1911
0,3,(vets*) AND effort syndrome,1911
0,4,(vets*) AND effort syndrome,1911
0,1,(vets*) AND effort syndrome,1912
0,2,(vets*) AND effort syndrome,1912
0,3,(vets*) AND effort syndrome,1912
0,4,(vets*) AND effort syndrome,1912
0,1,(vets*) AND effort syndrome,1913
0,2,(vets*) AND effort syndrome,1913
0,3,(vets*) AND effort syndrome,1913
0,4,(vets*) AND effort syndrome,1913
0,1,(vets*) AND effort syndrome,1914
0,2,(vets*) AND effort syndrome,1914
0,3,(vets*) AND effort syndrome,1914
0,4,(vets*) AND effort syndrome,1914
0,1,(vets*) AND effort syndrome,1915
0,2,(vets*) AND effort syndrome,1915
0,3,(vets*) AND effort syndrome,1915
0,4,(vets*) AND effort syndrome,1915
0,1,(vets*) AND effort syndrome,1916
0,2,(vets*) AND effort syndrome,1916
0,3,(vets*) AND effort syndrome,1916
0,4,(vets*) AND effort syndrome,1916
0,1,(vets*) AND effort syndrome,1917
0,2,(vets*) AND effort syndrome,1917
0,3,(vets*) AND effort syndrome,1917
0,4,(vets*) AND effort syndrome,1917
0,1,(vets*) AND effort syndrome,1918
0,2,(vets*) AND effort syndrome,1918
0,3,(vets*) AND effort syndrome,1918
0,4,(vets*) AND effort syndrome,1918
0,1,(vets*) AND effort syndrome,1919
0,2,(vets*) AND effort syndrome,1919
0,3,(vets*) AND effort syndrome,1919
0,4,(vets*) AND effort syndrome,1919
0,1,(vets*) AND effort syndrome,1920
0,2,(vets*) AND effort syndrome,1920
0,3,(vets*) AND effort syndrome,1920
0,4,(vets*) AND effort syndrome,1920
0,1,(vets*) AND effort syndrome,1921
0,2,(vets*) AND effort syndrome,1921
0,3,(vets*) AND effort syndrome,1921
0,4,(vets*) AND effort syndrome,1921
0,1,(vets*) AND effort syndrome,1922
0,2,(vets*) AND effort syndrome,1922
0,3,(vets*) AND effort syndrome,1922
0,4,(vets*) AND effort syndrome,1922
0,1,(vets*) AND effort syndrome,1923
0,2,(vets*) AND effort syndrome,1923
0,3,(vets*) AND effort syndrome,1923
0,4,(vets*) AND effort syndrome,1923
0,1,(vets*) AND effort syndrome,1924
0,2,(vets*) AND effort syndrome,1924
0,3,(vets*) AND effort syndrome,1924
0,4,(vets*) AND effort syndrome,1924
0,1,(vets*) AND effort syndrome,1925
0,2,(vets*) AND effort syndrome,1925
1,3,(vets*) AND effort syndrome,1925
0,4,(vets*) AND effort syndrome,1925
0,1,(vets*) AND effort syndrome,1926
0,2,(vets*) AND effort syndrome,1926
0,3,(vets*) AND effort syndrome,1926
0,4,(vets*) AND effort syndrome,1926
0,1,(vets*) AND effort syndrome,1927
0,2,(vets*) AND effort syndrome,1927
0,3,(vets*) AND effort syndrome,1927
0,4,(vets*) AND effort syndrome,1927
0,1,(vets*) AND effort syndrome,1928
0,2,(vets*) AND effort syndrome,1928
0,3,(vets*) AND effort syndrome,1928
0,4,(vets*) AND effort syndrome,1928
0,1,(vets*) AND effort syndrome,1929
0,2,(vets*) AND effort syndrome,1929
0,3,(vets*) AND effort syndrome,1929
0,4,(vets*) AND effort syndrome,1929
0,1,(vets*) AND effort syndrome,1930
0,2,(vets*) AND effort syndrome,1930
0,3,(vets*) AND effort syndrome,1930
0,4,(vets*) AND effort syndrome,1930
0,1,(vets*) AND effort syndrome,1931
0,2,(vets*) AND effort syndrome,1931
0,3,(vets*) AND effort syndrome,1931
0,4,(vets*) AND effort syndrome,1931
0,1,(vets*) AND effort syndrome,1932
0,2,(vets*) AND effort syndrome,1932
0,3,(vets*) AND effort syndrome,1932
0,4,(vets*) AND effort syndrome,1932
0,1,(vets*) AND effort syndrome,1933
0,2,(vets*) AND effort syndrome,1933
0,3,(vets*) AND effort syndrome,1933
0,4,(vets*) AND effort syndrome,1933
0,1,(vets*) AND effort syndrome,1934
0,2,(vets*) AND effort syndrome,1934
0,3,(vets*) AND effort syndrome,1934
0,4,(vets*) AND effort syndrome,1934
0,1,(vets*) AND effort syndrome,1935
0,2,(vets*) AND effort syndrome,1935
0,3,(vets*) AND effort syndrome,1935
0,4,(vets*) AND effort syndrome,1935
0,1,(vets*) AND effort syndrome,1936
0,2,(vets*) AND effort syndrome,1936
0,3,(vets*) AND effort syndrome,1936
0,4,(vets*) AND effort syndrome,1936
0,1,(vets*) AND effort syndrome,1937
0,2,(vets*) AND effort syndrome,1937
0,3,(vets*) AND effort syndrome,1937
0,4,(vets*) AND effort syndrome,1937
0,1,(vets*) AND effort syndrome,1938
0,2,(vets*) AND effort syndrome,1938
0,3,(vets*) AND effort syndrome,1938
0,4,(vets*) AND effort syndrome,1938
0,1,(vets*) AND effort syndrome,1939
0,2,(vets*) AND effort syndrome,1939
0,3,(vets*) AND effort syndrome,1939
0,4,(vets*) AND effort syndrome,1939
0,1,(vets*) AND effort syndrome,1940
0,2,(vets*) AND effort syndrome,1940
0,3,(vets*) AND effort syndrome,1940
0,4,(vets*) AND effort syndrome,1940
0,1,(vets*) AND effort syndrome,1941
0,2,(vets*) AND effort syndrome,1941
0,3,(vets*) AND effort syndrome,1941
0,4,(vets*) AND effort syndrome,1941
0,1,(vets*) AND effort syndrome,1942
0,2,(vets*) AND effort syndrome,1942
0,3,(vets*) AND effort syndrome,1942
0,4,(vets*) AND effort syndrome,1942
0,1,(vets*) AND effort syndrome,1943
0,2,(vets*) AND effort syndrome,1943
0,3,(vets*) AND effort syndrome,1943
0,4,(vets*) AND effort syndrome,1943
0,1,(vets*) AND effort syndrome,1944
0,2,(vets*) AND effort syndrome,1944
0,3,(vets*) AND effort syndrome,1944
0,4,(vets*) AND effort syndrome,1944
0,1,(vets*) AND effort syndrome,1945
0,2,(vets*) AND effort syndrome,1945
0,3,(vets*) AND effort syndrome,1945
0,4,(vets*) AND effort syndrome,1945
0,1,(vets*) AND effort syndrome,1946
0,2,(vets*) AND effort syndrome,1946
0,3,(vets*) AND effort syndrome,1946
0,4,(vets*) AND effort syndrome,1946
0,1,(vets*) AND effort syndrome,1947
0,2,(vets*) AND effort syndrome,1947
0,3,(vets*) AND effort syndrome,1947
0,4,(vets*) AND effort syndrome,1947
0,1,(vets*) AND effort syndrome,1948
0,2,(vets*) AND effort syndrome,1948
0,3,(vets*) AND effort syndrome,1948
0,4,(vets*) AND effort syndrome,1948
0,1,(vets*) AND effort syndrome,1949
0,2,(vets*) AND effort syndrome,1949
0,3,(vets*) AND effort syndrome,1949
0,4,(vets*) AND effort syndrome,1949
0,1,(vets*) AND effort syndrome,1950
0,2,(vets*) AND effort syndrome,1950
0,3,(vets*) AND effort syndrome,1950
0,4,(vets*) AND effort syndrome,1950
0,1,(vets*) AND effort syndrome,1951
0,2,(vets*) AND effort syndrome,1951
0,3,(vets*) AND effort syndrome,1951
0,4,(vets*) AND effort syndrome,1951
0,1,(vets*) AND effort syndrome,1952
0,2,(vets*) AND effort syndrome,1952
0,3,(vets*) AND effort syndrome,1952
0,4,(vets*) AND effort syndrome,1952
0,1,(vets*) AND effort syndrome,1953
0,2,(vets*) AND effort syndrome,1953
0,3,(vets*) AND effort syndrome,1953
0,4,(vets*) AND effort syndrome,1953
0,1,(vets*) AND effort syndrome,1954
0,2,(vets*) AND effort syndrome,1954
0,3,(vets*) AND effort syndrome,1954
0,4,(vets*) AND effort syndrome,1954
0,1,(vets*) AND effort syndrome,1955
0,2,(vets*) AND effort syndrome,1955
0,3,(vets*) AND effort syndrome,1955
0,4,(vets*) AND effort syndrome,1955
0,1,(vets*) AND effort syndrome,1956
0,2,(vets*) AND effort syndrome,1956
0,3,(vets*) AND effort syndrome,1956
0,4,(vets*) AND effort syndrome,1956
0,1,(vets*) AND effort syndrome,1957
0,2,(vets*) AND effort syndrome,1957
0,3,(vets*) AND effort syndrome,1957
0,4,(vets*) AND effort syndrome,1957
0,1,(vets*) AND effort syndrome,1958
1,2,(vets*) AND effort syndrome,1958
0,3,(vets*) AND effort syndrome,1958
0,4,(vets*) AND effort syndrome,1958
0,1,(vets*) AND effort syndrome,1959
0,2,(vets*) AND effort syndrome,1959
0,3,(vets*) AND effort syndrome,1959
0,4,(vets*) AND effort syndrome,1959
