hits,quarter,term,year
0,1,(vets*) AND lack of moral fibre,1900
0,2,(vets*) AND lack of moral fibre,1900
0,3,(vets*) AND lack of moral fibre,1900
0,4,(vets*) AND lack of moral fibre,1900
0,1,(vets*) AND lack of moral fibre,1901
0,2,(vets*) AND lack of moral fibre,1901
0,3,(vets*) AND lack of moral fibre,1901
0,4,(vets*) AND lack of moral fibre,1901
0,1,(vets*) AND lack of moral fibre,1902
0,2,(vets*) AND lack of moral fibre,1902
0,3,(vets*) AND lack of moral fibre,1902
0,4,(vets*) AND lack of moral fibre,1902
0,1,(vets*) AND lack of moral fibre,1903
0,2,(vets*) AND lack of moral fibre,1903
0,3,(vets*) AND lack of moral fibre,1903
0,4,(vets*) AND lack of moral fibre,1903
0,1,(vets*) AND lack of moral fibre,1904
0,2,(vets*) AND lack of moral fibre,1904
0,3,(vets*) AND lack of moral fibre,1904
0,4,(vets*) AND lack of moral fibre,1904
0,1,(vets*) AND lack of moral fibre,1905
0,2,(vets*) AND lack of moral fibre,1905
0,3,(vets*) AND lack of moral fibre,1905
0,4,(vets*) AND lack of moral fibre,1905
0,1,(vets*) AND lack of moral fibre,1906
0,2,(vets*) AND lack of moral fibre,1906
0,3,(vets*) AND lack of moral fibre,1906
0,4,(vets*) AND lack of moral fibre,1906
0,1,(vets*) AND lack of moral fibre,1907
0,2,(vets*) AND lack of moral fibre,1907
0,3,(vets*) AND lack of moral fibre,1907
0,4,(vets*) AND lack of moral fibre,1907
0,1,(vets*) AND lack of moral fibre,1908
0,2,(vets*) AND lack of moral fibre,1908
0,3,(vets*) AND lack of moral fibre,1908
0,4,(vets*) AND lack of moral fibre,1908
0,1,(vets*) AND lack of moral fibre,1909
0,2,(vets*) AND lack of moral fibre,1909
0,3,(vets*) AND lack of moral fibre,1909
0,4,(vets*) AND lack of moral fibre,1909
0,1,(vets*) AND lack of moral fibre,1910
0,2,(vets*) AND lack of moral fibre,1910
0,3,(vets*) AND lack of moral fibre,1910
0,4,(vets*) AND lack of moral fibre,1910
0,1,(vets*) AND lack of moral fibre,1911
0,2,(vets*) AND lack of moral fibre,1911
0,3,(vets*) AND lack of moral fibre,1911
0,4,(vets*) AND lack of moral fibre,1911
0,1,(vets*) AND lack of moral fibre,1912
0,2,(vets*) AND lack of moral fibre,1912
0,3,(vets*) AND lack of moral fibre,1912
0,4,(vets*) AND lack of moral fibre,1912
0,1,(vets*) AND lack of moral fibre,1913
0,2,(vets*) AND lack of moral fibre,1913
