hits,quarter,term,year
0,1,(vets*) AND neurasthenia,1900
1,2,(vets*) AND neurasthenia,1900
1,3,(vets*) AND neurasthenia,1900
0,4,(vets*) AND neurasthenia,1900
1,1,(vets*) AND neurasthenia,1901
1,2,(vets*) AND neurasthenia,1901
1,3,(vets*) AND neurasthenia,1901
0,4,(vets*) AND neurasthenia,1901
0,1,(vets*) AND neurasthenia,1902
1,2,(vets*) AND neurasthenia,1902
0,3,(vets*) AND neurasthenia,1902
0,4,(vets*) AND neurasthenia,1902
0,1,(vets*) AND neurasthenia,1903
1,2,(vets*) AND neurasthenia,1903
0,3,(vets*) AND neurasthenia,1903
0,4,(vets*) AND neurasthenia,1903
1,1,(vets*) AND neurasthenia,1904
0,2,(vets*) AND neurasthenia,1904
1,3,(vets*) AND neurasthenia,1904
0,4,(vets*) AND neurasthenia,1904
0,1,(vets*) AND neurasthenia,1905
0,2,(vets*) AND neurasthenia,1905
1,3,(vets*) AND neurasthenia,1905
0,4,(vets*) AND neurasthenia,1905
1,1,(vets*) AND neurasthenia,1906
0,2,(vets*) AND neurasthenia,1906
0,3,(vets*) AND neurasthenia,1906
0,4,(vets*) AND neurasthenia,1906
0,1,(vets*) AND neurasthenia,1907
1,2,(vets*) AND neurasthenia,1907
1,3,(vets*) AND neurasthenia,1907
0,4,(vets*) AND neurasthenia,1907
0,1,(vets*) AND neurasthenia,1908
2,2,(vets*) AND neurasthenia,1908
1,3,(vets*) AND neurasthenia,1908
0,4,(vets*) AND neurasthenia,1908
0,1,(vets*) AND neurasthenia,1909
1,2,(vets*) AND neurasthenia,1909
1,3,(vets*) AND neurasthenia,1909
0,4,(vets*) AND neurasthenia,1909
3,1,(vets*) AND neurasthenia,1910
1,2,(vets*) AND neurasthenia,1910
1,3,(vets*) AND neurasthenia,1910
4,4,(vets*) AND neurasthenia,1910
0,1,(vets*) AND neurasthenia,1911
1,2,(vets*) AND neurasthenia,1911
0,3,(vets*) AND neurasthenia,1911
1,4,(vets*) AND neurasthenia,1911
3,1,(vets*) AND neurasthenia,1912
0,2,(vets*) AND neurasthenia,1912
1,3,(vets*) AND neurasthenia,1912
4,4,(vets*) AND neurasthenia,1912
3,1,(vets*) AND neurasthenia,1913
0,2,(vets*) AND neurasthenia,1913
0,3,(vets*) AND neurasthenia,1913
0,4,(vets*) AND neurasthenia,1913
0,1,(vets*) AND neurasthenia,1914
0,2,(vets*) AND neurasthenia,1914
0,3,(vets*) AND neurasthenia,1914
0,4,(vets*) AND neurasthenia,1914
0,1,(vets*) AND neurasthenia,1915
2,2,(vets*) AND neurasthenia,1915
0,3,(vets*) AND neurasthenia,1915
2,4,(vets*) AND neurasthenia,1915
0,1,(vets*) AND neurasthenia,1916
1,2,(vets*) AND neurasthenia,1916
1,3,(vets*) AND neurasthenia,1916
2,4,(vets*) AND neurasthenia,1916
0,1,(vets*) AND neurasthenia,1917
0,2,(vets*) AND neurasthenia,1917
1,3,(vets*) AND neurasthenia,1917
0,4,(vets*) AND neurasthenia,1917
1,1,(vets*) AND neurasthenia,1918
3,2,(vets*) AND neurasthenia,1918
2,3,(vets*) AND neurasthenia,1918
0,4,(vets*) AND neurasthenia,1918
0,1,(vets*) AND neurasthenia,1919
0,2,(vets*) AND neurasthenia,1919
0,3,(vets*) AND neurasthenia,1919
2,4,(vets*) AND neurasthenia,1919
0,1,(vets*) AND neurasthenia,1920
2,2,(vets*) AND neurasthenia,1920
1,3,(vets*) AND neurasthenia,1920
0,4,(vets*) AND neurasthenia,1920
2,1,(vets*) AND neurasthenia,1921
1,2,(vets*) AND neurasthenia,1921
2,3,(vets*) AND neurasthenia,1921
1,4,(vets*) AND neurasthenia,1921
2,1,(vets*) AND neurasthenia,1922
2,2,(vets*) AND neurasthenia,1922
0,3,(vets*) AND neurasthenia,1922
0,4,(vets*) AND neurasthenia,1922
2,1,(vets*) AND neurasthenia,1923
0,2,(vets*) AND neurasthenia,1923
0,3,(vets*) AND neurasthenia,1923
1,4,(vets*) AND neurasthenia,1923
0,1,(vets*) AND neurasthenia,1924
0,2,(vets*) AND neurasthenia,1924
1,3,(vets*) AND neurasthenia,1924
0,4,(vets*) AND neurasthenia,1924
0,1,(vets*) AND neurasthenia,1925
0,2,(vets*) AND neurasthenia,1925
1,3,(vets*) AND neurasthenia,1925
0,4,(vets*) AND neurasthenia,1925
3,1,(vets*) AND neurasthenia,1926
1,2,(vets*) AND neurasthenia,1926
0,3,(vets*) AND neurasthenia,1926
0,4,(vets*) AND neurasthenia,1926
1,1,(vets*) AND neurasthenia,1927
2,2,(vets*) AND neurasthenia,1927
1,3,(vets*) AND neurasthenia,1927
0,4,(vets*) AND neurasthenia,1927
2,1,(vets*) AND neurasthenia,1928
0,2,(vets*) AND neurasthenia,1928
0,3,(vets*) AND neurasthenia,1928
2,4,(vets*) AND neurasthenia,1928
1,1,(vets*) AND neurasthenia,1929
0,2,(vets*) AND neurasthenia,1929
1,3,(vets*) AND neurasthenia,1929
0,4,(vets*) AND neurasthenia,1929
0,1,(vets*) AND neurasthenia,1930
1,2,(vets*) AND neurasthenia,1930
1,3,(vets*) AND neurasthenia,1930
0,4,(vets*) AND neurasthenia,1930
1,1,(vets*) AND neurasthenia,1931
1,2,(vets*) AND neurasthenia,1931
2,3,(vets*) AND neurasthenia,1931
0,4,(vets*) AND neurasthenia,1931
0,1,(vets*) AND neurasthenia,1932
3,2,(vets*) AND neurasthenia,1932
3,3,(vets*) AND neurasthenia,1932
0,4,(vets*) AND neurasthenia,1932
0,1,(vets*) AND neurasthenia,1933
1,2,(vets*) AND neurasthenia,1933
0,3,(vets*) AND neurasthenia,1933
0,4,(vets*) AND neurasthenia,1933
0,1,(vets*) AND neurasthenia,1934
1,2,(vets*) AND neurasthenia,1934
2,3,(vets*) AND neurasthenia,1934
3,4,(vets*) AND neurasthenia,1934
0,1,(vets*) AND neurasthenia,1935
1,2,(vets*) AND neurasthenia,1935
1,3,(vets*) AND neurasthenia,1935
1,4,(vets*) AND neurasthenia,1935
3,1,(vets*) AND neurasthenia,1936
1,2,(vets*) AND neurasthenia,1936
0,3,(vets*) AND neurasthenia,1936
1,4,(vets*) AND neurasthenia,1936
0,1,(vets*) AND neurasthenia,1937
0,2,(vets*) AND neurasthenia,1937
1,3,(vets*) AND neurasthenia,1937
0,4,(vets*) AND neurasthenia,1937
0,1,(vets*) AND neurasthenia,1938
