hits,quarter,term,year
0,1,veteran.soldier.military.armedforces AND soldier's heart,1900
0,2,veteran.soldier.military.armedforces AND soldier's heart,1900
0,3,veteran.soldier.military.armedforces AND soldier's heart,1900
0,4,veteran.soldier.military.armedforces AND soldier's heart,1900
0,1,veteran.soldier.military.armedforces AND soldier's heart,1901
0,2,veteran.soldier.military.armedforces AND soldier's heart,1901
0,3,veteran.soldier.military.armedforces AND soldier's heart,1901
0,4,veteran.soldier.military.armedforces AND soldier's heart,1901
0,1,veteran.soldier.military.armedforces AND soldier's heart,1902
0,2,veteran.soldier.military.armedforces AND soldier's heart,1902
0,3,veteran.soldier.military.armedforces AND soldier's heart,1902
0,4,veteran.soldier.military.armedforces AND soldier's heart,1902
0,1,veteran.soldier.military.armedforces AND soldier's heart,1903
0,2,veteran.soldier.military.armedforces AND soldier's heart,1903
0,3,veteran.soldier.military.armedforces AND soldier's heart,1903
0,4,veteran.soldier.military.armedforces AND soldier's heart,1903
0,1,veteran.soldier.military.armedforces AND soldier's heart,1904
0,2,veteran.soldier.military.armedforces AND soldier's heart,1904
0,3,veteran.soldier.military.armedforces AND soldier's heart,1904
0,4,veteran.soldier.military.armedforces AND soldier's heart,1904
0,1,veteran.soldier.military.armedforces AND soldier's heart,1905
0,2,veteran.soldier.military.armedforces AND soldier's heart,1905
0,3,veteran.soldier.military.armedforces AND soldier's heart,1905
0,4,veteran.soldier.military.armedforces AND soldier's heart,1905
0,1,veteran.soldier.military.armedforces AND soldier's heart,1906
0,2,veteran.soldier.military.armedforces AND soldier's heart,1906
0,3,veteran.soldier.military.armedforces AND soldier's heart,1906
0,4,veteran.soldier.military.armedforces AND soldier's heart,1906
0,1,veteran.soldier.military.armedforces AND soldier's heart,1907
0,2,veteran.soldier.military.armedforces AND soldier's heart,1907
0,3,veteran.soldier.military.armedforces AND soldier's heart,1907
0,4,veteran.soldier.military.armedforces AND soldier's heart,1907
0,1,veteran.soldier.military.armedforces AND soldier's heart,1908
0,2,veteran.soldier.military.armedforces AND soldier's heart,1908
0,3,veteran.soldier.military.armedforces AND soldier's heart,1908
0,4,veteran.soldier.military.armedforces AND soldier's heart,1908
0,1,veteran.soldier.military.armedforces AND soldier's heart,1909
0,2,veteran.soldier.military.armedforces AND soldier's heart,1909
0,3,veteran.soldier.military.armedforces AND soldier's heart,1909
0,4,veteran.soldier.military.armedforces AND soldier's heart,1909
0,1,veteran.soldier.military.armedforces AND soldier's heart,1910
0,2,veteran.soldier.military.armedforces AND soldier's heart,1910
0,3,veteran.soldier.military.armedforces AND soldier's heart,1910
0,4,veteran.soldier.military.armedforces AND soldier's heart,1910
0,1,veteran.soldier.military.armedforces AND soldier's heart,1911
0,2,veteran.soldier.military.armedforces AND soldier's heart,1911
0,3,veteran.soldier.military.armedforces AND soldier's heart,1911
0,4,veteran.soldier.military.armedforces AND soldier's heart,1911
0,1,veteran.soldier.military.armedforces AND soldier's heart,1912
0,2,veteran.soldier.military.armedforces AND soldier's heart,1912
0,3,veteran.soldier.military.armedforces AND soldier's heart,1912
