year,mil_personnel,total_pop,mil_percent
1900,125923,76094000,0.165483481
1901,112322,77584000,0.144774696
1902,111145,79163000,0.140400187
1903,106043,80632000,0.131514783
1904,110129,82166000,0.134032325
1905,108301,83822000,0.12920355
1906,112216,85450000,0.131323581
1907,108375,87008000,0.124557512
1908,128500,88710000,0.144854019
1909,142200,90490000,0.157144436
1910,139344,92407000,0.150793771
1911,144846,93863000,0.154316397
1912,153174,95335000,0.160669219
1913,154914,97225000,0.159335562
1914,165919,99111000,0.16740725
1915,174112,100546000,0.173166511
1916,179376,101961000,0.175926089
1917,643833,103268000,0.62345838
1918,2897167,103208000,2.807114759
1919,1172602,104514000,1.121956867
1920,343302,106461000,0.322467382
1921,386542,108538000,0.356135178
1922,270207,110049000,0.245533353
1923,247031,111947000,0.220667816
1924,261189,114109000,0.228894303
1925,251756,115829000,0.21735144
1926,247396,117397000,0.210734516
1927,248943,119035000,0.209134288
1928,250907,120509000,0.208206026
1929,255031,121767000,0.209441803
1930,255648,123076741,0.207714307
1931,252605,124039648,0.203648595
1932,244902,124840471,0.196171961
1933,243845,125578763,0.194176941
1934,247137,126373773,0.195560356
1935,251799,127250232,0.197877046
1936,291356,128053180,0.227527344
1937,311808,128824829,0.242040298
1938,322932,129824939,0.248744195
1939,334473,130879718,0.255557549
1940,458365,132122446,0.346924398
1941,1801101,133402471,1.350125666
1942,3858791,134859553,2.861340494
1943,9044745,136739353,6.614588121
1944,11451719,138397345,8.274522174
1945,12055884,139928165,8.615766526
1946,3024893,141388566,2.139418402
1947,1582111,144126071,1.097727142
1948,1444283,146631302,0.984975909
1949,1613686,149188130,1.081645034
1950,1459462,152271417,0.958460904
1951,3249371,154877889,2.098021235
1952,3635912,157552740,2.307742791
1953,3555067,160184192,2.219361946
1954,3302104,163025854,2.025509402
1955,2935107,165931202,1.768869848
1956,2806441,168903031,1.661569353
1957,2794761,171984130,1.625010982
1958,2599518,174881904,1.486441959
1959,2503631,177829628,1.407881818
1960,2475438,180671158,1.370134573
1961,2482905,183691481,1.351671284
1962,2805603,186537737,1.50404044
1963,2698927,189241798,1.426179115
1964,2685782,191888791,1.399655491
1965,2653926,194302963,1.365870061
1966,3092175,196560338,1.573142899
1967,3375485,198712056,1.698681533
1968,3546071,200706052,1.766798243
1969,3458072,202676946,1.706198987
1970,3064760,205052174,1.494624485
1971,2713044,207660677,1.306479416
1972,2321959,209896021,1.106242505
1973,2251936,211908788,1.06269118
1974,2162005,213853928,1.01097278
1975,2128120,215973199,0.985363003
1976,2081910,218035164,0.954850567
1977,2074543,220239425,0.941948972
1978,2061708,222584545,0.92625838
1979,2026892,225055487,0.900618788
1980,2050627,227224681,0.902466665
1981,2082560,229465714,0.907569137
1982,2108612,231664458,0.910200908
1983,2123349,233791994,0.908221434
1984,2138157,235824902,0.906671425
1985,2151032,237923795,0.904084436
1986,2169112,240132887,0.903296515
1987,2174217,242288918,0.897365434
1988,2138213,244498982,0.874528386
1989,2130229,246819230,0.863072541
1990,2043705,249464396,0.819237147
1991,1985555,252153092,0.787440275
1992,1807177,255029699,0.708614333
1993,1705103,257782608,0.661449976
1994,1610490,260327021,0.618641121
1995,1518224,262803276,0.577703605
1996,1471722,265228572,0.554888182
1997,1438562,267783607,0.537210629
1998,1406830,270248003,0.520569989
1999,1385703,272690813,0.508159034
2000,1384338,281424600,0.491903693
2001,1385116,284968955,0.48605856
2002,1411634,287625193,0.490789414
2003,1434377,290107933,0.494428741
2004,1426836,292805298,0.48729856
2005,1389394,295516599,0.470157685
2006,1384968,298379912,0.464162614
2007,1379551,301231207,0.45797081
2008,1401757,304093966,0.460961794
2009,1418542,306771529,0.462409926
2010,1430985,309348193,0.462580688
2011,1425113,311663358,0.457260362
2012,1399622,313998379,0.445741792
2013,1382684,316204908,0.43727468
2014,1338487,318563456,0.420163385
2015,1313940,320896618,0.409458974
2016,1301308,323127513,0.402722748
